Designator,Footprint,Quantity,Value,LCSC Part #
"_17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,17,,
"C1_2, C1, C3_2, C3, C5_2, C5, C7_2, C7",1206,8,0.1uF,
"C10_2, C10",1206,2,68uF,
"C11_2, C11",1206,2,22uF,
"C12_2, C12",1206,2,100nF,
"C2_2, C2, C4_2, C4, C6_2, C6, C9_2, C9",1206,8,10uF,
"C8_2, C8",1206,2,22pF,
"D1_2, D1",D_SOD-123,2,MBR0520LT1,
"H1_2, H1, H2_2, H2, H3_2, H3",MountingHole_3.2mm_M3,6,MountingHole,
"J1_2, J1",PinHeader_1x03_P2.54mm_Vertical,2,UART,
"J2_2, J2",SolderWire-0.1sqmm_1x04_P3.6mm_D0.4mm_OD1mm_Relief,2,Load cell,
"J3_2, J3",PinHeader_1x07_P2.54mm_Vertical,2,JTAG,
"J4_2, J4",SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm,2,Battery,
"L1_2, L1",L_Bourns_SRP7028A_7.3x6.6mm,2,CR54−220MC - 22uH,
"Q1_2, Q1",SOT-23,2,2N7002,
"R1_2, R1",1206,2,R,
"R10_2, R10",1206,2,1M,
"R11_2, R11",1206,2,330K,
"R12_2, R12, R6_2, R6",1206,4,10K,
"R2_2, R2, R3_2, R3, R4_2, R4, R5_2, R5, R8_2, R8, R9_2, R9",1206,12,100R,
"R7_2, R7",1206,2,8K2,
"SW1_2, SW1",SW_Push_1P1T_NO_6x6mm_H9.5mm,2,RESET,
"SW2_2, SW2",SW_Push_1P1T_NO_6x6mm_H9.5mm,2,POWER_ON,
"U1_2, U1",ESP32-WROOM-32,2,ESP32-WROOM-32,
"U2_2, U2",SOP-16_3.9x9.9mm_P1.27mm,2,HX711,
"U3_2, U3",SOT-23-5_HandSoldering,2,NCP1400A,
"U4_2, U4",SOT-223-3_TabPin2,2,AMS1117-3.3,
