Designator,Mid X,Mid Y,Rotation,Layer
_17,125.07,-93.22,270.0,top
_16,123.18,-93.22,270.0,top
_15,148.538907,-93.117212,270.0,top
_14,147.538907,-93.117212,270.0,top
_13,150.538907,-95.117212,270.0,top
_12,136.65,-93.17,270.0,top
_11,135.65,-93.17,270.0,top
_10,138.65,-95.17,270.0,top
_9,121.308907,-93.217212,270.0,top
_8,120.308907,-93.217212,270.0,top
_7,126.95,-95.2,270.0,top
_6,109.57,-93.31,270.0,top
_5,111.57,-95.31,270.0,top
_4,108.57,-93.31,270.0,top
_3,98.1,-93.35,270.0,top
_2,100.1,-95.35,270.0,top
,97.1,-93.35,270.0,top
C1_2,154.507853,-136.637535,270.0,top
C1,93.495,-51.855,90.0,top
C10_2,123.507853,-109.907535,0.0,top
C10,124.495,-78.585,180.0,top
C11_2,127.957853,-117.617535,90.0,top
C11,120.045,-70.875,270.0,top
C12_2,131.257853,-110.080035,90.0,top
C12,116.745,-78.4125,270.0,top
C2_2,157.377853,-136.617535,270.0,top
C2,90.625,-51.875,90.0,top
C3_2,154.407853,-128.647535,270.0,top
C3,93.595,-59.845,90.0,top
C4_2,126.641825,-122.702535,0.0,top
C4,121.361028,-65.79,180.0,top
C5_2,120.597853,-134.667535,180.0,top
C5,127.405,-53.825,0.0,top
C6_2,99.557853,-124.680035,90.0,top
C6,148.445,-63.8125,270.0,top
C7_2,112.237853,-131.947535,90.0,top
C7,135.765,-56.545,270.0,top
C8_2,126.657853,-125.907535,0.0,top
C8,121.345,-62.585,180.0,top
C9_2,122.697853,-98.967535,0.0,top
C9,125.305,-89.525,180.0,top
D1_2,125.107853,-105.517535,90.0,top
D1,122.895,-82.975,270.0,top
J1_2,127.297853,-137.847535,270.0,top
J1,120.705,-50.645,90.0,top
J3_2,158.147853,-121.717535,180.0,top
J3,89.855,-66.775,0.0,top
L1_2,130.617853,-101.337535,270.0,top
L1,117.385,-87.155,90.0,top
Q1_2,112.697853,-124.107535,90.0,top
Q1,135.305,-64.385,270.0,top
R1_2,155.737853,-132.667535,180.0,top
R1,92.265,-55.825,0.0,top
R10_2,137.127853,-110.050035,270.0,top
R10,110.875,-78.4425,90.0,top
R11_2,134.237853,-110.050035,90.0,top
R11,113.765,-78.4425,270.0,top
R12_2,118.777853,-100.267535,90.0,top
R12,129.225,-88.225,270.0,top
R2_2,152.397853,-114.157535,180.0,top
R2,95.605,-74.335,0.0,top
R3_2,152.397853,-111.707535,180.0,top
R3,95.605,-76.785,0.0,top
R4_2,152.467853,-109.147535,180.0,top
R4,95.535,-79.345,0.0,top
R5_2,152.507853,-106.507535,180.0,top
R5,95.495,-81.985,0.0,top
R6_2,107.277853,-124.667535,270.0,top
R6,140.725,-63.825,90.0,top
R7_2,103.937853,-127.227535,270.0,top
R7,144.065,-61.265,90.0,top
R8_2,107.947853,-130.587535,0.0,top
R8,140.055,-57.905,180.0,top
R9_2,107.947853,-133.387535,0.0,top
R9,140.055,-55.105,180.0,top
SW1_2,144.237853,-111.437535,270.0,top
SW1,103.765,-77.055,90.0,top
SW2_2,113.417853,-105.937535,270.0,top
SW2,134.585,-82.555,90.0,top
U1_2,141.177853,-129.487535,180.0,top
U1,106.825,-59.005,0.0,top
U2_2,119.117853,-127.422535,0.0,top
U2,128.885,-61.07,180.0,top
U3_2,121.237853,-105.017535,0.0,top
U3,126.765,-83.475,180.0,top
U4_2,121.687853,-116.507535,180.0,top
U4,126.315,-71.985,0.0,top
