Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1, C3_2, C3, C5_2, C5, C7_2, C7, C9_2, C9",1206,10,0.1uF,
"C11_2, C11, C13_2, C13, C15_2, C15",1206,6,22uF,
"C12_2, C12",1206,2,100nF,
"C2_2, C2, C4_2, C4, C6_2, C6",1206,6,10uF,
"C8_2, C8",1206,2,22pF,
"D1_2, D1, D3_2, D3",1206,4,LED,
"D2_2, D2",D_SMA_Handsoldering,2,SS34,
"J2_2, J2",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x04_Pin,
"J3_2, J3",PinHeader_1x06_P2.54mm_Vertical,2,JTAG,
"J4_2, J4, J6_2, J6",SolderWirePad_1x01_SMD_5x10mm,4,Conn_01x01_Pin,
"J5_2, J5",PinHeader_1x06_P2.54mm_Vertical,2,UART,
"JP1_2, JP1",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,Jumper_2_Bridged,
"L2_2, L2",L_Bourns_SRP7028A_7.3x6.6mm,2,22uH,
"Q1_2, Q1",SOT-23,2,S9015,
"R1_2, R1, R14_2, R14, R6_2, R6",1206,6,10K,
"R10_2, R10",1206,2,1M,
"R11_2, R11",1206,2,330K,
"R12_2, R12, R15_2, R15",1206,4,330R,
"R13_2, R13",1206,2,15K,
"R16_2, R16, R9_2, R9",1206,4,1K2,
"R2_2, R2, R3_2, R3, R4_2, R4, R5_2, R5",1206,8,100R,
"R7_2, R7",1206,2,8K2,
"R8_2, R8",1206,2,110K,
"U1_2, U1",ESP32-WROOM-32,2,ESP32-WROOM-32,
"U2_2, U2",SOP-16_3.9x9.9mm_P1.27mm,2,HX711,
"U3_2, U3",SOT-23-6,2,MT3608,
"U4_2, U4",SOT-223-3_TabPin2,2,AMS1117-3.3,
