Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C7, C9",1206,5,0.1uF,
"C11, C13, C15",1206,3,22uF,
C12,1206,1,100nF,
"C2, C4, C6",1206,3,10uF,
C8,1206,1,22pF,
"D1, D3",1206,2,LED,
D2,D_SMA_Handsoldering,1,SS34,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x04_Pin,
J3,PinHeader_1x06_P2.54mm_Vertical,1,JTAG,
"J4, J6",SolderWirePad_1x01_SMD_5x10mm,2,Conn_01x01_Pin,
J5,PinHeader_1x06_P2.54mm_Vertical,1,UART,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
L2,L_Bourns_SRP7028A_7.3x6.6mm,1,22uH,
Q1,SOT-23,1,S9015,
"R1, R14, R6",1206,3,10K,
R10,1206,1,1M,
R11,1206,1,330K,
"R12, R15",1206,2,330R,
R13,1206,1,15K,
"R16, R9",1206,2,1K2,
"R2, R3, R4, R5",1206,4,100R,
R7,1206,1,8K2,
R8,1206,1,110K,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
U2,SOP-16_3.9x9.9mm_P1.27mm,1,HX711,
U3,SOT-23-6,1,MT3608,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
