Designator,Mid X,Mid Y,Rotation,Layer
C1,45.72,-36.3605,90.0,top
C11,47.979999,-67.048,0.0,top
C12,80.264,-57.12,270.0,top
C13,67.0685,-69.233987,0.0,top
C15,55.6,-66.947987,90.0,top
C2,43.18,-36.3605,90.0,top
C3,44.6655,-40.64,0.0,top
C4,70.612,-49.6655,270.0,top
C5,79.502,-50.5045,90.0,top
C6,88.138,-50.492,270.0,top
C7,86.8295,-43.862,0.0,top
C8,70.184,-43.3155,270.0,top
C9,86.8295,-38.782,0.0,top
D1,70.354713,-34.323213,180.0,top
D2,59.156,-62.883987,90.0,top
D3,75.979213,-34.323213,180.0,top
J2,91.266,-45.132,180.0,top
J3,40.132,-44.45,0.0,top
J5,40.132,-65.024,0.0,top
L2,66.776,-60.343987,180.0,top
Q1,73.914,-50.1165,90.0,top
R1,43.688,-59.208,270.0,top
R10,75.184,-57.124,90.0,top
R11,77.724,-57.15,270.0,top
R12,81.567213,-34.323213,180.0,top
R13,59.156,-70.275987,270.0,top
R14,67.03,-72.027987,180.0,top
R15,86.901213,-34.323213,0.0,top
R16,86.868,-41.322,180.0,top
R2,44.704,-43.098,0.0,top
R3,44.678,-45.638,0.0,top
R4,44.704,-48.178,0.0,top
R5,44.678,-50.718,0.0,top
R6,85.344,-50.492,90.0,top
R7,76.962,-50.492,270.0,top
R8,62.484,-66.719987,270.0,top
R9,86.842,-46.402,180.0,top
U1,57.575,-43.075,0.0,top
U2,77.343,-43.902,0.0,top
U3,67.03,-66.185987,180.0,top
U4,48.995999,-61.062,270.0,top
