Designator,Mid X,Mid Y,Rotation,Layer
C1_4,8.71,-3.0945,90.0,top
C1_3,58.542,-3.0945,90.0,top
C1_2,58.542,-36.4045,90.0,top
C1,8.71,-36.4045,90.0,top
C10_4,2.64,-52.444,180.0,top
C10_3,52.472,-52.444,180.0,top
C10_2,52.472,-19.134,180.0,top
C10,2.64,-19.134,180.0,top
C11_4,7.99,-52.444,180.0,top
C11_3,57.822,-19.134,180.0,top
C11_2,57.822,-52.444,180.0,top
C11,7.99,-19.134,180.0,top
C12_4,7.5275,-14.984,180.0,top
C12_3,57.3595,-48.294,180.0,top
C12_2,7.5275,-48.294,180.0,top
C12,57.3595,-14.984,180.0,top
C2_4,56.002,-3.0945,90.0,top
C2_3,56.002,-36.4045,90.0,top
C2_2,6.17,-36.4045,90.0,top
C2,6.17,-3.0945,90.0,top
C3_4,16.38,-23.6505,90.0,top
C3_3,66.212,-56.9605,90.0,top
C3_2,66.212,-23.6505,90.0,top
C3,16.38,-56.9605,90.0,top
C4_4,43.9535,-23.761472,0.0,top
C4_3,43.9535,-57.071472,0.0,top
C4_2,93.7855,-23.761472,0.0,top
C4,93.7855,-57.071472,0.0,top
C5_4,44.7925,-14.871472,180.0,top
C5_3,44.7925,-48.181472,180.0,top
C5_2,94.6245,-48.181472,180.0,top
C5,94.6245,-14.871472,180.0,top
C6_4,44.78,-6.235472,0.0,top
C6_3,44.78,-39.545472,0.0,top
C6_2,94.612,-6.235472,0.0,top
C6,94.612,-39.545472,0.0,top
C7_4,38.15,-7.543972,90.0,top
C7_3,87.982,-7.543972,90.0,top
C7_2,38.15,-40.853972,90.0,top
C7,87.982,-40.853972,90.0,top
C8_4,82.522,-17.3715,90.0,top
C8_3,32.69,-17.3715,90.0,top
C8_2,82.522,-50.6815,90.0,top
C8,32.69,-50.6815,90.0,top
C9_4,82.902,-40.853972,90.0,top
C9_3,33.07,-7.543972,90.0,top
C9_2,82.902,-7.543972,90.0,top
C9,33.07,-40.853972,90.0,top
D1_4,81.072,-60.0715,90.0,top
