"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2,R4,R3,R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"100R";;;
2;"R11";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"330K";;;
3;"C10,C11";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"22uF";;;
4;"D1,D3";"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"LED";;;
5;"C12";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100nF";;;
6;"C2,C6,C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"10uF";;;
7;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
8;"Q1";"SOT-23";1;"S9015";;;
9;"C5,C7,C1,C9,C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";5;"0.1uF";;;
10;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"JTAG";;;
11;"U2";"SOP-16_3.9x9.9mm_P1.27mm";1;"HX711";;;
12;"J6";"2x5_solder_wire_pad";1;"BATT-";;;
13;"R1,R6";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10K";;;
14;"R12,R15";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"330R";;;
15;"R7";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"8K2";;;
16;"R16,R9";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"1K2";;;
17;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
18;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Strain gauge/load cell";;;
19;"J4";"2x5_solder_wire_pad";1;"BATT+";;;
20;"C8";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"22pF";;;
21;"R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1M";;;
