"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"UART";;;
2;"R12,R6";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10K";;;
3;"C5,C3,C1,C7";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"0.1uF";;;
4;"SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"POWER_ON";;;
5;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"RESET";;;
6;"H2,H1,H3";"MountingHole_3.2mm_M3";3;"MountingHole";;;
7;"U2";"SOP-16_3.9x9.9mm_P1.27mm";1;"HX711";;;
8;"R8,R9,R5,R2,R4,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";6;"100R";;;
9;"J4";"SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm";1;"Battery";;;
10;"R11";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"330K";;;
11;"R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1M";;;
12;"C9,C6,C4,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"10uF";;;
13;"L1";"L_Bourns_SRP7028A_7.3x6.6mm";1;"CR54−220MC - 22uH";;;
14;"C8";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"22pF";;;
15;"C11";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"22uF";;;
16;"R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"R";;;
17;"J3";"PinHeader_1x07_P2.54mm_Vertical";1;"JTAG";;;
18;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
19;"Q1";"SOT-23";1;"2N7002";;;
20;"R7";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"8K2";;;
21;"D1";"D_SOD-123";1;"MBR0520LT1";;;
22;"U3";"SOT-23-5_HandSoldering";1;"NCP1400A";;;
23;"C12";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100nF";;;
24;"C10";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"68uF";;;
25;"J2";"SolderWire-0.1sqmm_1x04_P3.6mm_D0.4mm_OD1mm_Relief";1;"Load cell";;;
26;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
