Designator,Mid X,Mid Y,Rotation,Layer
C1_2,10.16,-3.5945,90.0,top
C1,10.16,-47.5045,90.0,top
C11_2,12.419999,-34.282,0.0,top
C11,12.419999,-78.192,0.0,top
C12_2,44.704,-24.354,270.0,top
C12,44.704,-68.264,270.0,top
C13_2,31.5085,-36.467987,0.0,top
C13,31.5085,-80.377987,0.0,top
C15_2,20.04,-78.091987,90.0,top
C15,20.04,-34.181987,90.0,top
C2_2,7.62,-3.5945,90.0,top
C2,7.62,-47.5045,90.0,top
C3_2,9.1055,-7.874,0.0,top
C3,9.1055,-51.784,0.0,top
C4_2,35.052,-16.8995,270.0,top
C4,35.052,-60.8095,270.0,top
C5_2,43.942,-61.6485,90.0,top
C5,43.942,-17.7385,90.0,top
C6_2,52.578,-17.726,270.0,top
C6,52.578,-61.636,270.0,top
C7_2,51.2695,-11.096,0.0,top
C7,51.2695,-55.006,0.0,top
C8_2,34.624,-54.4595,270.0,top
C8,34.624,-10.5495,270.0,top
C9_2,51.2695,-6.016,0.0,top
C9,51.2695,-49.926,0.0,top
D1_2,34.794713,-45.467213,180.0,top
D1,34.794713,-1.557213,180.0,top
D2_2,23.596,-30.117987,90.0,top
D2,23.596,-74.027987,90.0,top
D3_2,40.419213,-45.467213,180.0,top
D3,40.419213,-1.557213,180.0,top
J2_2,55.706,-18.716,180.0,top
J2,55.706,-62.626,180.0,top
J3_2,4.572,-49.244,0.0,top
J3,4.572,-5.334,0.0,top
J5_2,4.572,-69.818,0.0,top
J5,4.572,-25.908,0.0,top
L2_2,31.216,-27.577987,180.0,top
L2,31.216,-71.487987,180.0,top
Q1_2,38.354,-61.2605,270.0,top
Q1,38.354,-17.3505,270.0,top
R1_2,8.128,-70.352,270.0,top
R1,8.128,-26.442,270.0,top
R10_2,39.624,-24.358,90.0,top
R10,39.624,-68.268,90.0,top
R11_2,42.164,-24.384,270.0,top
R11,42.164,-68.294,270.0,top
R12_2,46.007213,-1.557213,180.0,top
R12,46.007213,-45.467213,180.0,top
R13_2,23.596,-37.509987,270.0,top
R13,23.596,-81.419987,270.0,top
R14_2,31.47,-39.261987,180.0,top
R14,31.47,-83.171987,180.0,top
R15_2,51.341213,-45.467213,0.0,top
R15,51.341213,-1.557213,0.0,top
R16_2,51.308,-8.556,180.0,top
R16,51.308,-52.466,180.0,top
R2_2,9.144,-10.332,0.0,top
R2,9.144,-54.242,0.0,top
R3_2,9.118,-12.872,0.0,top
R3,9.118,-56.782,0.0,top
R4_2,9.144,-59.322,0.0,top
R4,9.144,-15.412,0.0,top
R5_2,9.118,-17.952,0.0,top
R5,9.118,-61.862,0.0,top
R6_2,49.784,-17.726,90.0,top
R6,49.784,-61.636,90.0,top
R7_2,41.402,-17.726,270.0,top
R7,41.402,-61.636,270.0,top
R8_2,26.924,-77.863987,270.0,top
R8,26.924,-33.953987,270.0,top
R9_2,51.282,-57.546,180.0,top
R9,51.282,-13.636,180.0,top
U1_2,22.015,-54.219,0.0,top
U1,22.015,-10.309,0.0,top
U2_2,41.783,-55.046,90.0,top
U2,41.783,-11.136,90.0,top
U3_2,31.47,-33.419987,0.0,top
U3,31.47,-77.329987,0.0,top
U4_2,13.435999,-72.206,90.0,top
U4,13.435999,-28.296,90.0,top
